E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
182,55,2147549185,2147565568,-7.205759e16,-3.6028797e16,11011011000000000000000000000000,11011011011111111111111111111111,8388608,13,3,15,2,14,Posit32(-7.205539501467238e16),Posit32(-3.602879701896397e16),10000000000000010000000000000001,10000000000000010100000000000000,16384
183,56,2147540993,2147549184,-1.4411518e17,-7.2057594e16,11011011100000000000000000000000,11011011111111111111111111111111,8388608,14,0,16,2,13,Posit32(-1.4410639198283366e17),Posit32(-7.205759403792794e16),10000000000000001110000000000001,10000000000000010000000000000000,8192
184,57,2147532801,2147540992,-2.8823036e17,-1.4411519e17,11011100000000000000000000000000,11011100011111111111111111111111,8388608,14,1,16,2,13,Posit32(-2.8821278396566733e17),Posit32(-1.4411518807585587e17),10000000000000001100000000000001,10000000000000001110000000000000,8192
185,58,2147524609,2147532800,-5.7646072e17,-2.8823038e17,11011100100000000000000000000000,11011100111111111111111111111111,8388608,14,2,16,2,13,Posit32(-5.7642556793133466e17),Posit32(-2.8823037615171174e17),10000000000000001010000000000001,10000000000000001100000000000000,8192
186,59,2147516417,2147524608,-1.15292144e18,-5.7646075e17,11011101000000000000000000000000,11011101011111111111111111111111,8388608,14,3,16,2,13,Posit32(-1.1528511358626693e18),Posit32(-5.764607523034235e17),10000000000000001000000000000001,10000000000000001010000000000000,8192
187,60,2147512321,2147516416,-2.3058429e18,-1.1529215e18,11011101100000000000000000000000,11011101111111111111111111111111,8388608,15,0,17,2,12,Posit32(-2.3055615342369833e18),Posit32(-1.152921504606847e18),10000000000000000111000000000001,10000000000000001000000000000000,4096
188,61,2147508225,2147512320,-4.6116857e18,-2.305843e18,11011110000000000000000000000000,11011110011111111111111111111111,8388608,15,1,17,2,12,Posit32(-4.6111230684739666e18),Posit32(-2.305843009213694e18),10000000000000000110000000000001,10000000000000000111000000000000,4096
189,62,2147504129,2147508224,-9.2233715e18,-4.611686e18,11011110100000000000000000000000,11011110111111111111111111111111,8388608,15,2,17,2,12,Posit32(-9.222246136947933e18),Posit32(-4.611686018427388e18),10000000000000000101000000000001,10000000000000000110000000000000,4096
190,63,2147500033,2147504128,-1.8446743e19,-9.223372e18,11011111000000000000000000000000,11011111011111111111111111111111,8388608,15,3,17,2,12,Posit32(-1.8444492273895866e19),Posit32(-9.223372036854776e18),10000000000000000100000000000001,10000000000000000101000000000000,4096
191,64,2147497985,2147500032,-3.6893486e19,-1.8446744e19,11011111100000000000000000000000,11011111111111111111111111111111,8388608,16,0,18,2,11,Posit32(-3.6884480948164362e19),Posit32(-1.8446744073709552e19),10000000000000000011100000000001,10000000000000000100000000000000,2048
192,65,2147495937,2147497984,-7.378697e19,-3.689349e19,11100000000000000000000000000000,11100000011111111111111111111111,8388608,16,1,18,2,11,Posit32(-7.3768961896328724e19),Posit32(-3.6893488147419103e19),10000000000000000011000000000001,10000000000000000011100000000000,2048
193,66,2147493889,2147495936,-1.4757394e20,-7.378698e19,11100000100000000000000000000000,11100000111111111111111111111111,8388608,16,2,18,2,11,Posit32(-1.4753792379265745e20),Posit32(-7.378697629483821e19),10000000000000000010100000000001,10000000000000000011000000000000,2048
194,67,2147491841,2147493888,-2.9514789e20,-1.4757395e20,11100001000000000000000000000000,11100001011111111111111111111111,8388608,16,3,18,2,11,Posit32(-2.950758475853149e20),Posit32(-1.4757395258967641e20),10000000000000000010000000000001,10000000000000000010100000000000,2048
195,68,2147490817,2147491840,-5.9029578e20,-2.951479e20,11100001100000000000000000000000,11100001111111111111111111111111,8388608,17,0,19,2,10,Posit32(-5.9000757998255394e20),Posit32(-2.9514790517935283e20),10000000000000000001110000000001,10000000000000000010000000000000,1024
196,69,2147489793,2147490816,-1.18059155e21,-5.902958e20,11100010000000000000000000000000,11100010011111111111111111111111,8388608,17,1,19,2,10,Posit32(-1.1800151599651079e21),Posit32(-5.902958103587057e20),10000000000000000001100000000001,10000000000000000001110000000000,1024
197,70,2147488769,2147489792,-2.3611831e21,-1.1805916e21,11100010100000000000000000000000,11100010111111111111111111111111,8388608,17,2,19,2,10,Posit32(-2.3600303199302158e21),Posit32(-1.1805916207174113e21),10000000000000000001010000000001,10000000000000000001100000000000,1024
198,71,2147487745,2147488768,-4.7223662e21,-2.3611832e21,11100011000000000000000000000000,11100011011111111111111111111111,8388608,17,3,19,2,10,Posit32(-4.7200606398604315e21),Posit32(-2.3611832414348226e21),10000000000000000001000000000001,10000000000000000001010000000000,1024
199,72,2147487233,2147487744,-9.4447324e21,-4.7223665e21,11100011100000000000000000000000,11100011111111111111111111111111,8388608,18,0,20,2,9,Posit32(-9.435509593702436e21),Posit32(-4.722366482869645e21),10000000000000000000111000000001,10000000000000000001000000000000,512
200,73,2147486721,2147487232,-1.8889465e22,-9.444733e21,11100100000000000000000000000000,11100100011111111111111111111111,8388608,18,1,20,2,9,Posit32(-1.8871019187404871e22),Posit32(-9.44473296573929e21),10000000000000000000110000000001,10000000000000000000111000000000,512
201,74,2147486209,2147486720,-3.777893e22,-1.8889466e22,11100100100000000000000000000000,11100100111111111111111111111111,8388608,18,2,20,2,9,Posit32(-3.7742038374809743e22),Posit32(-1.888946593147858e22),10000000000000000000101000000001,10000000000000000000110000000000,512
202,75,2147485697,2147486208,-7.555786e22,-3.7778932e22,11100101000000000000000000000000,11100101011111111111111111111111,8388608,18,3,20,2,9,Posit32(-7.5484076749619485e22),Posit32(-3.777893186295716e22),10000000000000000000100000000001,10000000000000000000101000000000,512
203,76,2147485441,2147485696,-1.5111572e23,-7.5557864e22,11100101100000000000000000000000,11100101111111111111111111111111,8388608,19,0,21,2,8,Posit32(-1.508205795466493e23),Posit32(-7.555786372591432e22),10000000000000000000011100000001,10000000000000000000100000000000,256
204,77,2147485185,2147485440,-3.0223144e23,-1.5111573e23,11100110000000000000000000000000,11100110011111111111111111111111,8388608,19,1,21,2,8,Posit32(-3.016411590932986e23),Posit32(-1.5111572745182865e23),10000000000000000000011000000001,10000000000000000000011100000000,256
205,78,2147484929,2147485184,-6.0446287e23,-3.0223145e23,11100110100000000000000000000000,11100110111111111111111111111111,8388608,19,2,21,2,8,Posit32(-6.032823181865972e23),Posit32(-3.022314549036573e23),10000000000000000000010100000001,10000000000000000000011000000000,256
206,79,2147484673,2147484928,-1.20892575e24,-6.044629e23,11100111000000000000000000000000,11100111011111111111111111111111,8388608,19,3,21,2,8,Posit32(-1.2065646363731944e24),Posit32(-6.044629098073146e23),10000000000000000000010000000001,10000000000000000000010100000000,256
207,80,2147484545,2147484672,-2.4178515e24,-1.2089258e24,11100111100000000000000000000000,11100111111111111111111111111111,8388608,20,0,22,2,7,Posit32(-2.408406906263519e24),Posit32(-1.2089258196146292e24),10000000000000000000001110000001,10000000000000000000010000000000,128
208,81,2147484417,2147484544,-4.835703e24,-2.4178516e24,11101000000000000000000000000000,11101000011111111111111111111111,8388608,20,1,22,2,7,Posit32(-4.816813812527038e24),Posit32(-2.4178516392292583e24),10000000000000000000001100000001,10000000000000000000001110000000,128
209,82,2147484289,2147484416,-9.671406e24,-4.8357033e24,11101000100000000000000000000000,11101000111111111111111111111111,8388608,20,2,22,2,7,Posit32(-9.633627625054076e24),Posit32(-4.835703278458517e24),10000000000000000000001010000001,10000000000000000000001100000000,128
210,83,2147484161,2147484288,-1.9342812e25,-9.671407e24,11101001000000000000000000000000,11101001011111111111111111111111,8388608,20,3,22,2,7,Posit32(-1.9267255250108152e25),Posit32(-9.671406556917033e24),10000000000000000000001000000001,10000000000000000000001010000000,128
211,84,2147484097,2147484160,-3.8685624e25,-1.9342813e25,11101001100000000000000000000000,11101001111111111111111111111111,8388608,21,0,23,2,6,Posit32(-3.8383394772764476e25),Posit32(-1.9342813113834067e25),10000000000000000000000111000001,10000000000000000000001000000000,64
212,85,2147484033,2147484096,-7.737125e25,-3.8685626e25,11101010000000000000000000000000,11101010011111111111111111111111,8388608,21,1,23,2,6,Posit32(-7.676678954552895e25),Posit32(-3.8685626227668134e25),10000000000000000000000110000001,10000000000000000000000111000000,64
